id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
54,Female,24,1,3,0,< 1 Year,Yes,34199,152,237,0
55,Female,25,1,41,1,< 1 Year,Yes,45348,152,54,0
56,Male,37,1,31,0,1-2 Year,Yes,2630,26,46,0
57,Male,41,1,29,0,1-2 Year,Yes,2630,124,88,0
58,Female,63,1,28,0,> 2 Years,Yes,34547,26,195,0
59,Female,25,1,16,0,< 1 Year,Yes,19568,152,10,0
60,Male,21,1,33,1,< 1 Year,No,26775,152,21,0
61,Male,41,1,41,1,1-2 Year,No,94843,124,129,0
62,Male,50,1,8,0,1-2 Year,Yes,46173,26,177,0
63,Male,34,1,6,0,1-2 Year,Yes,25045,154,13,1
64,Male,43,1,8,0,1-2 Year,Yes,28739,124,128,0
65,Female,47,1,28,1,1-2 Year,No,42984,13,18,0
66,Male,31,1,41,1,< 1 Year,Yes,27151,152,137,0
67,Female,21,1,45,1,< 1 Year,No,20875,152,15,0
68,Female,22,1,46,1,< 1 Year,No,37924,152,296,0
69,Male,63,1,10,1,1-2 Year,No,2630,26,240,0
70,Male,22,1,46,1,< 1 Year,No,44293,152,135,0
71,Male,55,1,28,0,> 2 Years,Yes,27568,3,140,1
72,Female,28,1,33,1,< 1 Year,No,24524,152,264,0
73,Female,49,1,28,0,> 2 Years,Yes,42075,124,142,0
74,Male,35,1,28,0,1-2 Year,Yes,33272,26,255,0
75,Male,43,1,0,0,1-2 Year,Yes,2630,122,284,0
76,Female,48,1,28,0,1-2 Year,Yes,32448,124,103,1
77,Female,66,1,28,0,1-2 Year,No,44562,24,114,0
78,Male,40,1,28,0,1-2 Year,Yes,24949,124,105,1
79,Female,31,1,41,1,< 1 Year,No,2630,152,191,0
80,Female,48,1,26,1,1-2 Year,No,34766,22,51,0
81,Female,21,1,50,1,< 1 Year,No,46735,152,272,0
82,Female,42,1,29,0,1-2 Year,Yes,39999,26,263,1
83,Male,21,1,46,1,< 1 Year,No,30740,160,24,0
84,Male,56,1,28,0,1-2 Year,Yes,32624,26,281,0
85,Male,26,1,8,1,< 1 Year,No,38188,152,267,0
86,Female,40,1,20,0,1-2 Year,Yes,2630,156,109,0
87,Female,74,1,41,1,1-2 Year,No,48564,124,115,0
88,Female,22,1,32,1,< 1 Year,No,21339,152,160,0
89,Male,53,1,28,0,1-2 Year,Yes,41587,124,69,0
90,Male,29,1,28,0,< 1 Year,Yes,38945,152,260,0
91,Male,68,1,28,1,1-2 Year,No,37713,124,259,0
92,Male,66,1,30,1,1-2 Year,No,32296,124,201,0
93,Male,55,1,3,0,1-2 Year,No,2630,124,250,1
94,Female,25,1,41,1,< 1 Year,No,30129,152,172,0
95,Female,53,1,28,0,1-2 Year,Yes,26636,13,255,0
96,Female,28,1,28,0,< 1 Year,Yes,41834,124,70,0
97,Male,57,1,28,0,1-2 Year,Yes,2630,26,62,1
98,Male,59,1,8,0,1-2 Year,Yes,2630,26,59,0
99,Male,41,1,37,0,1-2 Year,Yes,2630,156,187,0
100,Female,57,1,28,0,1-2 Year,Yes,50303,124,256,0
101,Female,23,1,25,0,< 1 Year,No,24626,152,85,0
102,Female,25,1,8,1,< 1 Year,No,31495,152,106,0
103,Female,63,1,15,1,1-2 Year,No,44179,14,228,0
104,Male,78,1,41,0,1-2 Year,Yes,37754,12,124,0
105,Female,32,1,12,0,1-2 Year,Yes,33413,154,92,1
106,Male,49,1,41,1,1-2 Year,No,31188,124,172,0
107,Female,63,1,28,0,1-2 Year,Yes,29247,31,12,0
108,Male,36,1,14,0,1-2 Year,Yes,2630,156,81,0
109,Female,32,1,8,0,< 1 Year,Yes,30350,26,243,0
110,Male,56,1,19,0,1-2 Year,Yes,28147,124,298,0
111,Male,35,1,14,0,1-2 Year,Yes,22506,124,95,1
112,Male,39,1,28,0,1-2 Year,Yes,34087,163,117,0
113,Male,23,1,50,1,< 1 Year,No,36446,152,216,0
114,Male,41,1,47,0,1-2 Year,Yes,33106,152,31,0
115,Female,43,1,28,0,1-2 Year,Yes,24270,124,151,0
116,Female,69,1,28,0,1-2 Year,Yes,46249,124,26,0
117,Female,23,1,27,0,< 1 Year,Yes,24864,152,102,0
118,Male,42,1,8,0,1-2 Year,Yes,25456,124,97,0
119,Male,39,1,28,0,1-2 Year,Yes,55159,26,168,1
120,Female,22,1,8,1,< 1 Year,No,29737,152,53,0
121,Female,25,1,3,1,< 1 Year,No,34150,152,237,0
122,Male,22,1,28,1,< 1 Year,No,31323,152,141,0
123,Male,23,1,12,0,< 1 Year,Yes,26211,154,78,1
124,Male,39,1,36,0,1-2 Year,Yes,28237,154,41,0
125,Male,41,1,28,0,1-2 Year,Yes,49066,122,22,0
126,Female,41,1,28,0,1-2 Year,Yes,28560,26,126,0
127,Female,22,1,41,1,< 1 Year,No,28361,152,246,0
128,Female,40,1,15,1,1-2 Year,No,34226,152,159,0
129,Female,21,1,30,1,< 1 Year,No,26648,152,250,0
130,Female,23,1,6,1,< 1 Year,No,15057,152,108,0
131,Male,51,1,8,1,1-2 Year,No,2630,31,88,0
132,Female,24,1,6,1,< 1 Year,No,31497,152,289,0
133,Male,23,1,28,1,< 1 Year,No,2630,152,152,0
134,Male,26,1,11,1,< 1 Year,No,32916,152,212,0
135,Female,59,1,50,1,1-2 Year,No,31358,63,92,0
136,Female,29,1,25,0,< 1 Year,Yes,28861,154,199,0
137,Male,37,1,28,0,1-2 Year,Yes,40899,124,289,0
138,Male,52,1,28,0,1-2 Year,Yes,38126,124,64,1
139,Female,44,1,28,0,1-2 Year,Yes,40573,26,177,1
140,Female,28,1,29,0,1-2 Year,Yes,40838,157,252,0
141,Male,45,1,28,0,1-2 Year,No,30832,26,48,0
142,Male,25,1,50,1,< 1 Year,No,45857,152,287,0
143,Male,24,1,8,0,< 1 Year,Yes,35431,152,63,0
144,Female,80,1,11,1,1-2 Year,No,29212,26,249,0
145,Male,47,1,46,1,1-2 Year,Yes,26539,124,68,0
146,Male,47,1,8,1,1-2 Year,No,2630,7,277,0
147,Male,21,1,28,1,< 1 Year,No,55923,152,167,0
148,Male,43,1,50,1,1-2 Year,No,33012,26,242,0
149,Male,48,1,42,0,1-2 Year,Yes,29921,25,14,0
150,Female,41,1,24,1,1-2 Year,No,31560,26,240,0
151,Male,28,1,35,1,< 1 Year,No,26337,152,166,0
152,Female,41,1,31,0,1-2 Year,Yes,2630,9,262,0
153,Male,21,1,15,1,< 1 Year,No,30925,152,226,0
154,Male,41,1,43,1,1-2 Year,No,2630,156,266,0
155,Male,25,1,28,0,< 1 Year,Yes,45831,26,276,0
156,Male,45,1,35,1,1-2 Year,No,25485,10,10,0
157,Male,20,1,17,1,< 1 Year,No,35979,160,248,0
158,Female,27,1,15,1,< 1 Year,No,32582,152,96,0
159,Male,44,1,28,1,1-2 Year,No,54066,124,155,0
160,Female,40,1,41,0,1-2 Year,No,42238,152,29,0
161,Male,48,1,8,1,1-2 Year,No,28200,26,91,0
162,Female,25,1,18,1,< 1 Year,No,39648,152,14,0
163,Male,31,1,28,0,< 1 Year,Yes,35377,152,261,0
164,Female,24,1,30,1,< 1 Year,No,2630,152,18,0
165,Female,25,1,11,1,< 1 Year,No,31988,152,271,0
166,Male,20,1,12,0,< 1 Year,Yes,29804,160,158,0
167,Male,24,1,13,0,< 1 Year,Yes,27794,152,183,0
168,Female,52,1,28,0,1-2 Year,Yes,27075,124,223,1
169,Male,36,1,28,0,1-2 Year,Yes,39092,26,119,0
170,Female,44,1,8,1,1-2 Year,No,40695,7,95,0
171,Female,25,1,7,1,< 1 Year,No,50377,152,299,0
172,Female,40,1,50,0,1-2 Year,Yes,34498,30,91,0
173,Male,36,1,33,1,1-2 Year,No,29919,124,239,0
174,Male,49,1,28,0,1-2 Year,Yes,47581,124,169,0
175,Female,29,1,0,0,< 1 Year,No,2630,152,98,0
176,Female,24,1,15,1,< 1 Year,No,30667,152,16,0
177,Female,61,1,28,0,1-2 Year,Yes,39250,13,92,0
178,Female,35,1,15,1,1-2 Year,No,36053,14,254,0
179,Male,27,1,36,0,< 1 Year,Yes,25667,152,241,0
180,Male,22,1,28,0,< 1 Year,Yes,63097,122,166,0
181,Male,51,1,33,1,1-2 Year,No,2630,29,287,0
182,Female,28,1,41,1,< 1 Year,No,32280,151,208,0
183,Female,26,1,28,1,< 1 Year,No,32746,152,200,0
184,Male,26,1,46,1,< 1 Year,No,25253,152,68,0
185,Male,37,1,30,0,1-2 Year,No,31821,124,25,0
186,Male,23,1,8,1,< 1 Year,No,69819,152,127,0
187,Female,44,1,28,0,1-2 Year,Yes,34152,125,164,0
188,Female,31,1,48,0,< 1 Year,Yes,2630,124,181,1
189,Female,24,1,8,1,< 1 Year,No,33744,152,114,0
190,Male,20,1,15,1,< 1 Year,No,34373,160,49,0
191,Male,23,1,28,1,< 1 Year,No,46091,152,105,0
192,Male,42,1,28,0,1-2 Year,Yes,39159,26,223,1
193,Male,34,1,27,0,1-2 Year,Yes,31090,124,83,0
194,Female,24,1,7,1,< 1 Year,No,28926,152,194,0
195,Female,21,1,41,1,< 1 Year,No,36124,160,65,0
196,Female,21,1,15,0,< 1 Year,Yes,40188,160,81,0
197,Male,27,1,46,1,< 1 Year,No,2630,160,178,0
198,Female,59,1,37,1,1-2 Year,No,41531,26,204,0
199,Female,45,1,28,1,1-2 Year,No,27485,152,107,0
200,Male,51,1,8,0,1-2 Year,Yes,25828,4,82,0
201,Female,27,1,49,0,< 1 Year,Yes,33395,152,126,0
202,Male,50,1,30,0,> 2 Years,Yes,45880,124,102,1
203,Male,55,1,44,0,1-2 Year,Yes,24865,26,234,0
204,Female,26,1,18,1,< 1 Year,No,35587,152,156,0
205,Female,27,1,41,1,< 1 Year,No,22558,152,157,0
206,Male,26,1,47,1,< 1 Year,No,34184,152,104,0
207,Female,78,1,5,1,1-2 Year,No,26313,26,209,0
208,Male,42,1,35,0,1-2 Year,Yes,45312,10,203,0
209,Female,22,1,8,1,< 1 Year,No,41595,152,235,0
210,Female,24,1,36,1,< 1 Year,No,27477,152,101,0
211,Male,22,1,46,0,1-2 Year,Yes,38494,26,240,0
212,Female,41,1,28,1,1-2 Year,No,35241,29,123,0
213,Female,22,1,2,1,< 1 Year,No,31345,152,274,0
214,Female,23,1,33,1,< 1 Year,No,34038,152,79,0
215,Female,20,1,31,0,1-2 Year,Yes,2630,156,71,0
216,Female,47,1,30,0,1-2 Year,Yes,25098,124,133,1
217,Female,41,1,11,0,1-2 Year,Yes,32779,163,47,0
218,Female,54,1,33,0,1-2 Year,Yes,2630,124,17,0
219,Female,24,1,33,1,< 1 Year,No,73635,152,119,0
220,Female,27,1,31,1,< 1 Year,No,2630,152,165,0
221,Female,22,1,45,0,< 1 Year,Yes,25932,152,138,0
222,Male,48,1,15,0,1-2 Year,Yes,42836,25,13,1
223,Male,47,1,28,0,1-2 Year,Yes,28930,154,225,1
224,Female,66,1,41,1,1-2 Year,No,37929,109,255,0
225,Female,40,1,28,1,1-2 Year,No,31945,122,106,0
226,Female,25,1,35,1,< 1 Year,No,34359,152,113,0
227,Male,23,1,50,0,< 1 Year,Yes,48678,152,128,0
228,Female,30,1,29,0,< 1 Year,Yes,30293,152,53,0
229,Female,51,1,30,0,1-2 Year,No,26380,124,104,0
230,Female,41,1,28,1,1-2 Year,No,39287,152,68,0
231,Male,55,1,28,0,1-2 Year,Yes,34306,26,176,0
232,Female,55,1,28,0,1-2 Year,Yes,33077,4,279,0
233,Female,26,1,8,1,< 1 Year,No,38824,152,76,0
234,Female,32,1,28,1,< 1 Year,No,32999,26,252,0
235,Male,29,1,50,1,< 1 Year,No,18915,152,13,0
236,Male,43,1,28,0,> 2 Years,Yes,44405,26,117,0
237,Female,38,1,28,0,1-2 Year,Yes,34988,156,124,0
238,Female,47,1,49,0,1-2 Year,Yes,21429,26,296,1
239,Female,44,1,25,0,1-2 Year,Yes,24714,124,249,0
240,Male,21,1,12,0,< 1 Year,Yes,29731,160,63,0
241,Male,26,1,14,0,< 1 Year,Yes,31678,152,110,0
242,Female,65,1,34,1,1-2 Year,No,28222,26,213,0
243,Male,25,1,7,1,< 1 Year,No,2630,152,257,0
244,Male,26,1,41,1,< 1 Year,No,32813,152,242,0
245,Female,24,1,27,0,< 1 Year,Yes,2630,152,201,0
246,Male,68,1,28,0,> 2 Years,Yes,68543,124,142,0
247,Male,50,1,28,1,1-2 Year,No,34528,26,175,0
248,Male,24,1,50,1,< 1 Year,No,35168,152,232,0
249,Female,48,1,28,0,1-2 Year,Yes,39657,55,175,1
250,Female,36,1,9,1,1-2 Year,No,2630,152,251,0
251,Female,21,1,8,1,< 1 Year,No,36235,152,171,0
252,Female,23,1,46,0,< 1 Year,Yes,2630,152,240,0
253,Female,24,1,29,1,< 1 Year,No,31961,152,256,0
254,Female,22,1,46,1,< 1 Year,No,19216,152,139,0
255,Female,26,1,33,1,< 1 Year,No,34300,152,22,0
256,Male,21,1,25,0,< 1 Year,Yes,21532,160,126,0
257,Female,24,1,29,1,< 1 Year,No,26313,151,257,0
258,Female,69,1,2,1,1-2 Year,Yes,28966,124,108,0
259,Male,40,1,5,0,1-2 Year,Yes,31126,124,240,0
260,Female,36,1,28,0,1-2 Year,Yes,38836,124,214,1
261,Female,32,1,49,1,< 1 Year,No,33016,152,117,0
262,Male,61,1,46,1,1-2 Year,No,2630,4,288,0
263,Male,58,1,41,0,1-2 Year,Yes,36844,124,220,1
264,Male,41,1,38,1,1-2 Year,Yes,32003,26,200,0
265,Female,25,1,41,1,< 1 Year,No,33492,152,267,0
266,Female,25,1,50,0,< 1 Year,No,36706,152,24,0
267,Male,80,1,3,0,> 2 Years,Yes,31399,3,255,1
268,Female,20,1,36,1,< 1 Year,Yes,37012,160,101,0
269,Female,71,1,50,0,1-2 Year,No,32164,8,90,0
270,Male,55,1,28,0,1-2 Year,Yes,38050,26,93,1
271,Female,23,1,35,0,< 1 Year,Yes,29885,26,227,0
272,Female,51,1,9,0,1-2 Year,Yes,2630,124,276,0
273,Female,50,1,37,0,1-2 Year,Yes,32566,124,96,1
274,Female,25,1,8,0,1-2 Year,Yes,2630,157,155,0
275,Female,53,1,28,1,1-2 Year,No,33132,124,101,0
276,Female,35,1,3,0,1-2 Year,Yes,2630,124,60,1
277,Male,51,1,28,0,1-2 Year,Yes,42536,124,240,0
278,Male,30,1,41,1,< 1 Year,No,45252,152,179,0
279,Male,30,1,15,1,< 1 Year,No,22763,152,254,0
280,Male,30,1,43,1,< 1 Year,No,2630,160,46,0
281,Female,54,1,29,0,1-2 Year,Yes,2630,156,129,0
282,Female,25,1,33,1,< 1 Year,No,28304,151,142,0
283,Female,22,1,8,1,< 1 Year,No,52411,152,110,0
284,Male,39,1,41,1,1-2 Year,No,2630,26,222,0
285,Female,51,1,19,0,1-2 Year,Yes,32412,26,246,0
286,Male,57,1,8,0,1-2 Year,Yes,33017,163,10,0
287,Female,31,1,50,1,< 1 Year,No,30930,152,259,0
288,Male,21,1,43,1,< 1 Year,No,30589,154,130,0
289,Male,21,1,32,1,< 1 Year,Yes,32541,160,86,0
290,Male,64,1,28,0,> 2 Years,Yes,33090,26,115,0
291,Female,46,1,46,0,1-2 Year,Yes,32165,11,68,0
292,Female,42,1,28,0,1-2 Year,Yes,34644,26,53,0
293,Female,47,1,41,0,1-2 Year,Yes,41231,26,249,0
294,Female,54,1,28,0,1-2 Year,Yes,49496,163,27,1
295,Male,28,1,50,1,< 1 Year,No,31505,152,134,0
296,Male,39,1,28,0,> 2 Years,Yes,36561,13,62,0
297,Male,23,1,28,0,< 1 Year,Yes,28883,152,66,0
298,Female,40,1,50,0,1-2 Year,Yes,30919,26,239,1
299,Female,51,1,11,0,1-2 Year,Yes,25397,120,238,0
300,Male,60,1,46,1,1-2 Year,No,34475,124,252,0
301,Male,53,1,11,1,1-2 Year,No,60443,26,142,0
302,Male,37,1,28,1,1-2 Year,No,35464,151,282,0
303,Female,54,1,28,0,1-2 Year,Yes,28459,60,160,0
304,Male,50,1,37,0,1-2 Year,Yes,35934,124,138,0
305,Female,23,1,47,1,< 1 Year,No,31206,152,228,0
306,Male,30,1,13,0,< 1 Year,No,24879,152,86,0
307,Female,24,1,33,1,< 1 Year,No,38705,152,19,0
308,Male,33,1,8,1,< 1 Year,No,35086,152,19,0
309,Male,49,1,34,0,1-2 Year,Yes,24117,26,167,1
310,Male,26,1,18,1,< 1 Year,No,39972,152,290,0
311,Female,23,1,43,0,< 1 Year,No,22970,152,247,0
312,Male,42,1,46,0,1-2 Year,Yes,34201,157,192,1
313,Male,28,1,21,1,< 1 Year,No,30075,152,14,0
314,Male,24,1,47,1,< 1 Year,No,36174,151,254,0
315,Male,43,1,8,0,1-2 Year,Yes,31223,124,237,0
316,Male,26,1,37,1,< 1 Year,No,43369,152,14,0
317,Female,43,1,28,0,1-2 Year,Yes,66852,26,165,1
318,Male,61,1,36,0,1-2 Year,Yes,32373,26,205,0
319,Male,36,1,2,0,1-2 Year,Yes,29594,152,46,0
320,Male,48,1,3,1,1-2 Year,No,21911,26,254,0
321,Male,24,1,8,0,< 1 Year,Yes,2630,156,122,0
322,Male,55,1,0,1,1-2 Year,No,2630,124,11,0
323,Male,38,1,28,0,1-2 Year,Yes,33059,26,124,1
324,Female,68,1,9,0,> 2 Years,Yes,50931,26,229,0
325,Male,44,1,33,0,> 2 Years,Yes,15984,124,164,0
326,Male,64,1,24,0,1-2 Year,Yes,40521,16,23,0
327,Female,20,1,14,1,< 1 Year,No,22938,160,64,0
328,Female,36,1,1,1,1-2 Year,No,2630,124,268,0
329,Male,21,1,42,1,< 1 Year,No,27861,160,145,0
330,Male,54,1,8,0,1-2 Year,Yes,2630,124,48,0
331,Female,60,1,28,0,1-2 Year,Yes,2630,26,63,0
332,Male,50,1,28,0,1-2 Year,Yes,45736,26,122,0
333,Female,49,1,28,0,1-2 Year,Yes,2630,160,149,0
334,Male,34,1,28,0,1-2 Year,Yes,45912,122,28,0
335,Female,51,1,28,0,1-2 Year,Yes,2630,156,178,0
336,Male,49,1,36,0,1-2 Year,Yes,30369,154,145,0
337,Male,23,1,49,0,< 1 Year,Yes,31511,151,142,0
338,Male,22,1,35,1,< 1 Year,No,27780,152,225,0
339,Male,41,1,33,0,1-2 Year,No,28717,26,76,0
340,Female,52,1,8,1,1-2 Year,No,34157,7,96,0
341,Female,23,1,33,1,< 1 Year,No,37425,152,166,0
342,Male,40,1,36,0,1-2 Year,Yes,32684,152,48,1
343,Male,24,1,11,1,< 1 Year,No,41711,152,206,0
344,Female,75,1,28,0,1-2 Year,Yes,51323,124,176,0
345,Female,23,1,50,1,< 1 Year,No,32199,152,133,0
346,Male,23,1,5,0,< 1 Year,Yes,28324,151,33,0
347,Female,41,1,8,0,1-2 Year,Yes,38293,31,181,0
348,Male,32,1,11,0,1-2 Year,Yes,2630,157,23,1
349,Female,25,1,2,1,< 1 Year,No,35343,152,265,0
350,Male,25,1,11,0,1-2 Year,Yes,2630,156,143,1
351,Male,54,1,8,0,> 2 Years,Yes,35216,7,38,0
352,Female,24,1,41,1,< 1 Year,No,26897,152,88,0
353,Female,48,1,28,1,< 1 Year,No,2630,1,184,0
354,Female,29,1,5,0,< 1 Year,No,25109,152,206,0
355,Female,24,1,45,1,< 1 Year,No,25727,152,90,0
356,Female,23,1,41,1,< 1 Year,No,30925,152,44,0
357,Male,59,1,29,0,1-2 Year,Yes,2630,124,76,0
358,Female,21,1,37,0,< 1 Year,Yes,29001,152,26,0
359,Male,64,1,10,0,1-2 Year,Yes,28596,124,298,0
360,Female,25,1,8,1,< 1 Year,No,33467,152,58,0
361,Female,38,1,27,0,1-2 Year,No,25323,152,156,0
362,Male,24,1,50,1,< 1 Year,No,32604,152,117,0
363,Male,44,1,28,0,1-2 Year,Yes,36780,124,65,0
364,Male,21,1,46,1,< 1 Year,No,32155,160,99,0
365,Female,31,1,8,1,< 1 Year,No,2630,152,75,0
366,Male,56,1,24,0,1-2 Year,Yes,25926,124,292,0
367,Female,53,1,21,0,1-2 Year,Yes,31370,124,230,0
368,Female,33,1,13,0,1-2 Year,Yes,23513,124,133,0
369,Male,39,1,28,0,1-2 Year,Yes,49324,124,54,1
370,Female,37,1,28,1,1-2 Year,No,57690,152,248,0
371,Male,58,1,28,0,> 2 Years,Yes,50515,26,299,1
372,Male,71,1,41,0,1-2 Year,Yes,51914,26,146,0
373,Female,38,1,28,1,1-2 Year,No,61607,152,278,0
374,Male,62,1,41,0,1-2 Year,Yes,33923,124,71,0
375,Female,27,1,27,1,< 1 Year,No,28959,152,49,0
376,Male,55,1,28,0,1-2 Year,No,2630,124,223,0
377,Male,49,1,33,0,1-2 Year,Yes,2630,124,59,0
378,Male,24,1,43,1,< 1 Year,No,30556,160,31,0
379,Female,35,1,35,0,1-2 Year,Yes,2630,160,202,0
380,Male,52,1,15,0,1-2 Year,Yes,34799,124,116,0
381,Female,25,1,47,0,1-2 Year,Yes,2630,156,20,1
382,Female,22,1,15,0,< 1 Year,No,37210,152,270,0
383,Female,24,1,8,1,< 1 Year,No,52176,151,97,0
384,Male,35,1,15,1,1-2 Year,No,31571,152,21,0
385,Male,52,1,28,0,1-2 Year,Yes,27061,125,229,0
386,Male,59,1,28,0,1-2 Year,Yes,41625,158,18,1
387,Male,34,1,26,0,1-2 Year,Yes,2630,124,57,0
388,Male,39,1,8,1,1-2 Year,No,35211,124,90,0
389,Male,21,1,39,1,< 1 Year,No,2630,160,118,0
390,Female,23,1,30,1,< 1 Year,No,24390,152,192,0
391,Male,56,1,50,1,1-2 Year,No,36312,64,269,0
392,Female,63,1,3,0,> 2 Years,Yes,40348,26,130,0
393,Male,21,1,45,1,< 1 Year,No,28860,160,290,0
394,Male,71,1,8,0,1-2 Year,No,41902,124,103,0
395,Female,22,1,16,1,< 1 Year,No,16124,152,176,0
396,Female,24,1,8,1,< 1 Year,No,38633,152,107,0
397,Female,24,1,21,1,< 1 Year,No,37417,152,14,0
398,Male,62,1,28,0,1-2 Year,Yes,32945,157,198,0
399,Male,22,1,28,1,< 1 Year,No,32248,152,278,0
400,Female,24,1,6,1,< 1 Year,No,25417,152,289,0
401,Female,67,1,48,1,1-2 Year,No,2630,156,275,0
402,Female,20,1,15,0,< 1 Year,Yes,31134,160,163,0
403,Female,21,1,8,0,< 1 Year,Yes,30145,160,216,0
404,Male,29,1,44,0,< 1 Year,No,2630,1,180,0
405,Male,45,1,8,0,> 2 Years,Yes,97533,124,60,1
406,Female,44,1,28,1,1-2 Year,No,33880,124,179,0
407,Male,24,1,12,0,< 1 Year,Yes,30692,152,234,0
408,Male,28,1,32,1,< 1 Year,No,26757,152,60,0
409,Female,48,1,28,1,1-2 Year,No,2630,26,299,0
410,Male,24,1,46,1,< 1 Year,No,20662,152,289,0
411,Female,43,1,28,0,1-2 Year,Yes,37343,124,148,1
412,Male,53,1,8,1,1-2 Year,No,57655,26,30,0
413,Male,34,1,8,0,1-2 Year,Yes,2630,157,141,0
414,Male,24,1,29,1,< 1 Year,No,24325,152,178,0
415,Male,58,1,48,1,1-2 Year,Yes,2630,15,167,0
416,Male,44,1,24,0,1-2 Year,Yes,30125,124,242,1
417,Male,46,1,48,0,1-2 Year,Yes,2630,15,96,0
418,Male,22,1,29,0,1-2 Year,Yes,35783,154,126,0
419,Female,23,1,46,1,< 1 Year,No,20460,152,161,0
420,Female,54,1,39,1,1-2 Year,No,27621,29,64,0
421,Male,25,1,50,1,< 1 Year,No,2630,152,12,0
422,Female,24,1,12,1,< 1 Year,No,24612,152,296,0
423,Male,67,1,8,1,1-2 Year,No,38544,26,216,0
424,Male,25,1,14,1,< 1 Year,No,25500,152,282,0
425,Male,22,1,37,0,< 1 Year,Yes,40013,160,275,0
426,Female,21,1,30,1,< 1 Year,No,23348,152,77,0
427,Male,22,1,41,1,< 1 Year,No,48009,152,167,0
428,Male,28,1,46,0,< 1 Year,Yes,28305,152,184,0
429,Male,53,1,8,0,1-2 Year,Yes,47553,124,287,0
430,Male,57,1,11,1,1-2 Year,No,20296,152,87,0
431,Male,46,1,28,0,1-2 Year,Yes,33630,124,35,1
432,Male,46,1,28,0,> 2 Years,Yes,56430,124,294,0
